UNIVERSITY NAME,NAME OF MASTER PROGRAM,COUNTRY,CITY,LANG.,SEMESTER,Tuition fee(€)/SEMESTER,APPLY,START,REQUIREMENT,WEBSITE
University of Bamberg,"
Master of Science in International Software Systems Science",Germany,Bamberg,English,4,101,01/06/21,01/12/21,IELTS 6.5 TOEFL 90,https://www.uni-bamberg.de/en/studies/non-exchange-students-masters-degree/online-application-form/
TU Darmstadt,Cognitive Science,Germany,Darmstadt,English,4,,01/11/21,15/01/21,ENG-C1CEFRGER,https://www.tu-darmstadt.de/studieren/studieninteressierte/studienangebot_studiengaenge/studiengang_196672.en.jsp
FAU Erlangen-Nürnberg,Data Science,Germany,Erlangen,English,4,114,31/05/21,,IELTS 5.5 ENG-B2,http://www.campo.fau.de/
University of Potsdam,Data Science,Germany,Potsdam,English,4,300,01/06/21,,ENG-C1,http://www.uni-potsdam.de/en/studium/application-enrollment/application-master/consecutive.html
Leuphana University Lüneburg,Management & Data Science (MSc),Germany,Lüneburg,English,4,360,01/06/21,,IELTS 5.5 TOEFL 85,https://www.leuphana.de/master-apply
Hertie School,Master of Data Science for Public Policy (MDS),Germany,Berlin,English,4,8925,01/02/21,01/05/21,IELTS 7 TOEFL 100,https://application.hertie-school.org/
Heinrich Heine University Düsseldorf,Artificial Intelligence and Data Science,Germany,Düsseldorf,English,4,300,01/10/21,15/07/21,IELTS 6 TOEFL 80,http://www.master-aid.hhu.de/
Saarland University,Data Science and Artificial Intelligence (MSc),Germany,Saarbrücken,English,4,280,15/11/21,,ENG-C1,https://saarland-informatics-campus.de/en/studium-studies/master-english/application-guide/
Otto von Guericke University Magdeburg,Data Science: Master's Degree in Data & Knowledge Engineering (MDKE),Germany,Magdeburg,English,4,128,15/05/21,,CEFR C1,http://www.uni-assist.de/
Ludwig-Maximilians-Universität München,"Data Science (MSc, Elite Master's Programme)",Germany,München,English,4,142,01/06/21,,ENG-B2,https://efv-datascience.ifi.lmu.de/
University of Tübingen,"Quantitative Data Science Methods – Psychometrics, Econometrics and Machine Learning (QDS)",Germany,Tübingen,English,4,1500,31/05/21,,IELTS 6.5 TOEFL 79,https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/linkedPortlet.faces?portletGuid=0319ee1d-f5a2-431a-88b2-e2fbb0d400c2&sig=aa6cb6fa4714989f660ff1c94eb89b20&noDBAction=y&init=y
RWTH Aachen University,MSc Data Analytics and Decision Science (DDS),Germany,Aachen,English,4,7500,01/03/21,,IELTS 5.5 TOEFL 90,https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/login/ee/ui/ca2/app/desktop/%23/
Martin Luther University Halle-Wittenberg,Economics: Data Science and Policy,Germany,"Halle (Saale)
",English,4,190,01/04/30,,IELTS 6 TOEFL 72,https://www.wiwi.uni-halle.de/studium/studienangebot/master_edsp/
Humboldt-Universität zu Berlin,Master of Science in Economics,Germany,Berlin,English,4,320,31/05/21,,IELTS 7 TOEFL 95 CEFRGER B1,https://studienplatz.hu-berlin.de/bewerbungOnline
University of Hohenheim,Master of Science in Economics,Germany,Stuttgart,English,4,1500,15/05/21,,TOEFL 79,https://www.uni-hohenheim.de/en/appliction-economics-apply
University of Duisburg-Essen,Master of Science in Econometrics,Germany,Essen,English,4,300,15/07/21,,CEFR B2,https://www.statistik.tu-dortmund.de/2706.html
University of Bonn,Master of Science in Economics,Germany,Bonn,English,4,300,01/03/21,30/04/21,IELTS 6 TOEFL 87 CEFRB2,https://masterapplication.uni-bonn.de/movein/hosted/online/move/movein/portal/studyportal.php?_language=en
